,Unnamed: 0.1,Unnamed: 0,date,open,close,high,low,volumme
242,99.0,,2024-04-16 00:00:00,10.106,10.026,10.106,10.026,20890
243,100.0,,2024-04-17 00:00:00,9.35,9.35,9.35,9.35,1940
244,101.0,,2024-04-18 00:00:00,9.6,9.6,9.6,9.6,0
245,102.0,,2024-04-24 00:00:00,11.244,11.244,11.244,11.244,0
246,103.0,,2024-05-03 00:00:00,10.017,10.017,10.017,10.017,0
247,104.0,,2024-05-10 00:00:00,10.407,10.407,10.407,10.407,250
248,105.0,,2024-05-13 00:00:00,10.099,10.099,10.099,10.099,1
249,106.0,,2024-05-14 00:00:00,9.838,9.838,9.838,9.838,1
250,107.0,,2024-05-15 00:00:00,10.008,10.008,10.008,10.008,175
251,108.0,,2024-05-16 00:00:00,10.681,10.681,10.681,10.681,33
252,109.0,,2024-05-17 00:00:00,10.644,10.644,10.644,10.644,0
253,110.0,,2024-05-20 00:00:00,10.907,10.907,10.907,10.907,0
254,111.0,,2024-05-22 00:00:00,11.671,11.671,11.671,11.671,0
255,112.0,,2024-05-29 00:00:00,11.597,11.597,11.597,11.597,0
256,113.0,,2024-05-30 00:00:00,11.352,11.352,11.352,11.352,0
257,114.0,,2024-06-03 00:00:00,11.205,11.205,11.205,11.205,0
258,115.0,,2024-06-05 00:00:00,11.664,11.664,11.664,11.664,0
259,116.0,,2024-06-10 00:00:00,12.209,12.209,12.209,12.209,0
260,117.0,,2024-06-12 00:00:00,12.271,12.271,12.271,12.271,1
261,118.0,,2024-06-13 00:00:00,12.825,12.825,12.825,12.825,0
262,119.0,,2024-06-24 00:00:00,12.639,12.639,12.639,12.639,0
263,120.0,,2024-06-27 00:00:00,13.83,13.83,13.83,13.83,100
264,121.0,,2024-06-28 00:00:00,13.465,13.465,13.465,13.465,100
265,122.0,,2024-07-01 00:00:00,13.595,13.595,13.595,13.595,0
266,123.0,,2024-07-08 00:00:00,13.629,13.629,13.629,13.629,0
267,124.0,,2024-07-11 00:00:00,13.367,13.367,13.367,13.367,0
268,125.0,,2024-07-15 00:00:00,14.099,14.099,14.099,14.099,0
269,126.0,,2024-07-18 00:00:00,14.687,14.687,14.687,14.687,0
270,127.0,,2024-07-22 00:00:00,14.979,14.979,14.979,14.979,0
271,128.0,,2024-07-24 00:00:00,14.608,14.744,14.744,14.608,86
272,129.0,,2024-07-25 00:00:00,13.773,13.682,13.773,13.682,634
273,130.0,,2024-07-26 00:00:00,13.515,13.515,13.515,13.515,53
274,131.0,,2024-07-29 00:00:00,13.753,13.308,13.792,13.308,4423
275,132.0,,2024-07-30 00:00:00,13.13,13.13,13.13,13.13,0
276,133.0,,2024-08-06 00:00:00,10.786,10.648,10.786,10.648,360
277,134.0,,2024-08-07 00:00:00,10.749,10.749,10.749,10.749,0
278,135.0,,2024-08-09 00:00:00,11.0,11.0,11.0,11.0,50
